"ID","SMR","Calendar","Eng_Speed_Max","Eng_Speed_Ave","Blowby_Press_Max","LF_Exh_Temp_Max","LR_Exh_Temp_Max","RF_Exh_Temp_Max","RR_Exh_Temp_Max","Boost_Press_Max","E_Oil_P_Max","E_Oil_P_Lo_Min","E_Oil_P_Hi_Min","E_Oil_Tmp_Max","Fuel_Rate","Cool_Temp_Max","Cool_Temp_Min","TM_Oil_Temp_Max","Ambient_Temp_Max","Ambient_Temp_Ave","Ambient_Temp_Min","Atomos_Press_Ave","F_Brake_P_Max","R_Brake_P_Max","Travel_Speed_Max","ECO_ON","Machine_Serial"
"100803943","34418.1","2019-03-24 23:00:39","2451","1483","378.30121341899","-32768","969","969","962","17130.620985011","6.3220148873254","1.0196798205363","3.6708473539309","100","97.2","83","18","84","27","19","9","840","206.99500356888","208.01468338942","39","5545","J20141"
"95222572","14603.1","2019-03-17 02:20:12","2318","1540","700.52003670847","969","966","705","969","17946.36484144","6.0161109411645","1.0196798205363","3.5688793718772","101","93","87","43","84","26","17","10","840","195.77852554298","195.77852554298","36.9","122","9551"
"95908648","17766.3","2019-02-13 20:25:21","2334","1527","1205.261547874","-32768","-32768","-32768","-32768","18252.268787601","5.9141429591108","1.2236157846436","3.9767513000918","90","84.5","75","26","76","14","6","2","840","192.71948608137","195.77852554298","37.3","164","9535"
"95908645","17706.2","2019-02-09 23:46:23","2267","1580","933.00703579076","-32768","-32768","-32768","-32768","18048.332823493","5.5062710308963","1.2236157846436","3.8747833180381","93","80.7","76","41","78","23","12","7","840","192.71948608137","195.77852554298","38.4","653","9535"
"95222561","14382.9","2019-03-03 18:22:29","2265","1505","748.44498827368","969","943","684","969","18252.268787601","5.9141429591108","1.0196798205363","3.6708473539309","98","88.1","82","39","88","21","12","7","840","195.77852554298","195.77852554298","37.9","1421","9551"
"100803939","34338","2019-03-16 13:50:39","2449","1508","378.30121341899","-32768","969","969","949","16008.973182421","6.6279188334863","1.12164780259","3.5688793718772","106","100.3","88","23","92","27","17","11","840","206.99500356888","208.01468338942","37.1","1462","J20141"
"95908644","17686.2","2019-02-08 19:28:53","2302","1541","964.61711022739","-32768","-32768","-32768","-32768","17742.428877333","5.7102069950036","1.2236157846436","3.9767513000918","93","79.3","77","28","79","23","12","6","840","192.71948608137","194.75884572244","37.8","1604","9535"
"96223367","17721.5","2019-02-02 10:57:40","2224","1460","1882.3289487101","-32768","238","-32768","685","17028.653002957","5.0983991026818","0.81574385642908","3.2629754257163","106","81.7","78","20","78","19","12","7","840","196.79820536352","197.81788518405","37.5","8","9534"
"96223372","17821.6","2019-02-08 11:24:49","2325","1461","1905.7815845824","-32768","372","-32768","544","17538.492913225","5.302335066789","0.81574385642908","3.36494340777","102","83.7","77","15","79","19","8","1","850","197.81788518405","198.83756500459","37.7","2965","9534"
"96223368","17741.5","2019-02-03 16:08:46","2218","1499","1830.3252778627","-32768","298","-32768","687","17028.653002957","4.6905271744672","0.81574385642908","3.2629754257163","107","84.3","78","31","78","28","14","9","840","195.77852554298","197.81788518405","36.3","851","9534"
"96223371","17801.5","2019-02-06 22:33:19","2241","1487","1853.7779137351","-32768","100","-32768","659","17436.524931172","4.6905271744672","0.81574385642908","3.36494340777","102","83.2","75","35","77","20","4","0","850","197.81788518405","198.83756500459","36.6","1259","9534"
"100803937","34297.9","2019-03-13 16:04:36","2383","1520","371.16345467523","-32768","969","969","936","16110.941164474","5.302335066789","1.0196798205363","3.6708473539309","99","100.7","83","43","84","25","14","10","840","203.93596410727","204.95564392781","37.7","261","J20141"
"100803936","34277.9","2019-03-12 14:01:45","2325","1500","393.59641072703","-32768","969","969","913","16518.813092689","5.4043030488427","1.0196798205363","3.6708473539309","99","99.1","83","38","83","22","13","8","840","203.93596410727","203.93596410727","37.1","905","J20141"
"95908649","17786.3","2019-02-15 00:03:11","2351","1440","1052.3095747935","-32768","-32768","919","-32768","18150.300805547","5.7102069950036","1.2236157846436","3.8747833180381","92","75.7","76","37","78","22","10","5","850","192.71948608137","194.75884572244","36.9","113","9535"
"100803935","34257.9","2019-03-11 10:26:47","2410","1487","383.39961252167","-32768","969","969","951","16518.813092689","6.1180789232181","1.12164780259","3.7728153359845","95","97.7","79","36","88","16","8","4","840","204.95564392781","205.97532374834","37.9","2283","J20141"
"100803934","34237.9","2019-03-10 07:55:18","2418","1517","407.87192821454","-32768","969","969","968","16518.813092689","5.9141429591108","1.0196798205363","3.6708473539309","99","98","84","18","97","24","10","2","840","204.95564392781","205.97532374834","38.2","796","J20141"
"100803933","34217.9","2019-03-08 20:35:12","2435","1496","363.00601611094","-32768","969","969","918","16416.845110635","5.9141429591108","1.0196798205363","3.5688793718772","102","97.3","87","36","85","23","15","9","840","204.95564392781","206.99500356888","37.3","916","J20141"
"100803932","34197.8","2019-03-07 18:07:45","2358","1496","406.852248394","-32768","969","969","-32768","16212.909146528","5.8121749770572","1.0196798205363","3.6708473539309","98","98.3","82","35","83","25","14","10","840","203.93596410727","204.95564392781","38.2","231","J20141"
"95222581","14783.3","2019-03-28 15:46:15","2298","1487","660.75252370756","969","932","708","969","17640.460895279","5.4043030488427","1.0196798205363","3.6708473539309","100","87.4","86","36","83","26","17","10","850","195.77852554298","195.77852554298","38.5","1330","9551"
"100803930","34157.8","2019-03-05 11:43:51","2317","1447","411.95064749669","-32768","969","969","922","16518.813092689","6.1180789232181","1.0196798205363","3.6708473539309","99","93.6","83","29","84","22","14","9","840","204.95564392781","205.97532374834","37.1","1205","J20141"
"96219931","32407.4","2019-03-02 18:14:45","2240","1503","1447.9453451616","-32768","909","-32768","-32768","16722.749056796","5.6082390129499","1.12164780259","3.6708473539309","97","89.6","78","30","89","18","9","2","820","195.77852554298","193.73916590191","38.3","326","J20150"
"100803929","34137.8","2019-03-04 06:08:03","2403","1512","398.69480982971","-32768","969","969","910","16518.813092689","6.2200469052717","1.0196798205363","3.6708473539309","99","100.7","82","22","95","19","12","8","840","204.95564392781","205.97532374834","37.9","146","J20141"
"100803927","34097.8","2019-03-01 17:05:37","2434","1515","405.83256857347","-32768","969","969","959","16416.845110635","6.0161109411645","1.12164780259","3.7728153359845","99","101.1","83","43","94","21","14","9","830","204.95564392781","204.95564392781","38.9","61","J20141"
